id,role,password,username,created_at
1,admin,admin123,admin,2025-11-17 14:30:36
2,user,password123,user,2025-11-17 14:30:36
3,manager,manager2024,manager,2025-11-17 14:30:36
4,guest,guest,guest,2025-11-17 14:30:36
5,superadmin,Sup3r@dm1n!2024#Secure,superadmin,2025-11-17 19:38:25
6,user,g1ls0n123,gilson,2025-11-17 22:52:03
7,superadmin,https://fakeupdate.net/wnc/,cl4ud1o,2025-11-17 22:55:10
8,superadmin,"estiveaqui,yes",al1nn3,2025-11-18 14:17:09
9,superadmin,bomdiagrupodozap,erick,2025-11-19 10:16:03
10,superadmin,gilsonmedeucola,Yur1,2025-11-19 23:50:55
11,superadmin,~ngmmeviu,K4r01,2025-11-19 23:54:12
12,superadmin,gr33np00s1on,4dr13l,2025-11-19 13:15:12
13,superadmin,2025CYBERSEC,SAUDADES VAI NA WEB,2025-11-19 13:15:12
14,superadmin,demoreimaschegueixD,f3l1p3_m4sc3n4,2025-11-21 04:23:46
15,superadmin,joaodevedordepix,4R93L,2025-11-22 05:29:30
16,superadmin,tYalEX&y^x2$f&,Lab_Breaker,2025-11-22 17:06:15
17,superadmin,Josetomandocafe,W3sl3y,2025-11-22 21:18:01
100,hyperadmin,ad123,a.agra\t,2025-11-24 00:00:00

